Year,Season,Sector_ID,Sector_Name,production,crop_area,yield,Ph,EC,Hp,C,N,P,K,Ca,Mg,S,Mn,Cu,B,Zn,Na,Fe,Al,ECEC,ESP,intercolumn,RainFall,Max_Temp,Min_Temp
2017,A,1106,Muhima,8126.417398,4.514676332,2301.324472,7.91,113,0,1.49,0.18,13.3,295,2010,147,8.6,69.5,2.49,0.43,7.82,39.2,122,847,12.2,1.4,1101-A-2017,475,26.96822,15.67561167
2017,A,1201,Bumbogo,90.43608829,0.050242271,3980.711758,5.355,65.5,0.525,2.135,0.155,6.25,63,411,132.5,12.55,73.6,1.18,0.1505,1.035,48.6,150.5,850,4.055,6.305,1102-A-2017,564,26.30552667,15.266905
2017,A,1212,Nduba,382540.5396,212.522522,4103.230998,5.78,43,0,2.35,0.18,32.6,113,553,132,3.9,52.2,1.87,0.24,1.53,25.5,194,611,4.27,2.6,1103-A-2017,441,26.672825,15.81575167
2017,A,1213,Remera,287899.9283,159.9444046,3898.417766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104-A-2017,475,26.96822,15.67561167
2017,A,2104,Kibirizi,322616.1559,179.2311977,3795.145758,5.136666667,45.75,0.716666667,0.4375,0.021666667,13.14166667,159.75,468,134.0833333,12.66666667,21.74166667,1.386666667,0.164583333,3.0025,29.60833333,236.4166667,215,4.710833333,2.973333333,1105-A-2017,361,27.18702333,16.39661167
2017,A,2105,Kigoma,97695.75119,54.27541733,4073.335791,5.173333333,64,1.8,1.816666667,0.17,55.86666667,118.6666667,528,106.6666667,14.53333333,35.93333333,2.056666667,0.157666667,3.1,61.26666667,220.6666667,1142,5.9,4.876666667,1106-A-2017,756,27.33427667,15.91789167
2017,A,2108,Ntyazo,272943.1824,151.6351013,239.1728543,5.685346369,81.11853917,0.779787879,1.884816867,0.137940938,49.85095197,202.196072,1143.678742,222.6678759,16.11165866,98.74508576,2.813722527,0.307816824,3.960927187,50.90122784,216.6648228,966.9449114,9.093013751,2.9198492,1107-A-2017,441,26.672825,15.81575167
2017,A,2201,GIkonko,561524.9264,311.9582925,3153.231214,5.485471698,330.8867925,0.008490566,2.672830189,0.188301887,6.562264151,118.7924528,2094.018868,442.245283,145.9641509,359.1056604,0.730754717,0.177603774,3.670566038,113.6981132,1006.679245,1085.679245,14.96264151,3.353018868,1108-A-2017,441,26.672825,15.81575167
2017,A,2203,Kansi,120630.4047,67.01689148,1224.318201,5.577272727,72.27272727,0.422727273,0.47,0.032727273,14.7,229.7272727,1660.181818,333.6363636,10.76363636,63.36363636,1.364545455,0.373636364,2.471818182,19.65454545,124.7272727,220,12.17818182,0.976363636,1109-A-2017,756,27.33427667,15.91789167
2017,A,2204,Kibilizi,277.6256986,0.154236499,3022.655535,6.165,99.5,0,2.155,0.16,11.5,400,1245,292,13.6,59.3,1.805,0.64,2.44,96.5,129,1225,10.1,4.165,1110-A-2017,441,26.672825,15.81575167
2017,A,2206,Mamba,2667518.262,1481.95459,821.4178817,5.94,66.5,0,1.93,0.165,8.95,182,762,188,10.8,64.65,2.05,0.29,1.705,70.65,157.5,888.5,6.15,4.93,1201-A-2017,347,26.23480167,15.31692667
2017,A,2207,Muganza,2151030.068,1195.016704,3104.5641,5.0725,108,0.9875,2.215,0.17,8.125,134.5,850,172.25,13.1,86.225,2.1175,0.17775,1.9775,52.8,322,1065,7.2475,3.295,1202-A-2017,484,26.53422333,15.38605833
2017,A,2209,Mukindo,685172.782,380.6515456,3329.394318,5.326666667,59.33333333,0.866666667,3.816666667,0.266666667,9.733333333,95,1348.666667,216,8.533333333,37.6,1.106666667,0.31,1.653333333,71.23333333,108.6666667,1496.666667,9.963333333,3.306666667,1203-A-2017,465,26.21419333,15.46548
2017,A,2210,Musha,328330.9341,182.4060745,4282.94858,6.326666667,85.83333333,0.091666667,2.345,0.2,29,653.6666667,1643.5,380.6666667,9.833333333,76.81666667,2.196666667,0.605,5.94,47.65,136,1149.833333,13.36666667,2.56,1204-A-2017,604,27.18239167,15.79726833
2017,A,2309,Ngoma,80322.7684,44.62376022,1718.25502,5.86,47,0,2.5,0.19,18.8,214,731,112,9.4,23.3,1.15,0.17,1.86,35,145,1400,5.29,2.88,1205-A-2017,688,26.74639,15.51017
2017,A,2405,Kinazi,121317.9771,67.39887619,1988.31042,6.226666667,46.66666667,0,2.32,0.18,39.2,354.3333333,992.3333333,213.6666667,6.2,62.33333333,1.426666667,0.286666667,3.826666667,53.43333333,142.6666667,1042.666667,7.886666667,2.973333333,1206-A-2017,814,25.25646833,14.99565167
2017,A,2407,Mbazi,430727.7328,239.2931849,3737.527429,5.254,124,0.03,3.028,0.203,6.81,67.9,1010.5,195.3,40.67,98.73,0.83,0.1153,2.259,25.92,553.2,1498.1,6.996,1.874,1207-A-2017,756,27.33427667,15.91789167
2017,A,2408,Mukura,83432.85835,46.35158797,3028.093814,5.7075,61.75,2.0575,2.87,0.235,36.525,423.75,1633.25,273,9.1,25.225,1.58,0.4325,4.6975,71.1,156.75,1555,13.895,3.315,1208-A-2017,756,27.33427667,15.91789167
2017,A,2410,Ruhashya,352751.2406,195.9729114,3527.882824,5.19,84.26315789,0.017105263,2.497368421,0.167368421,4.984210526,52.60526316,786.8684211,144.0789474,34.14736842,157.9,0.515526316,0.057157895,2.595526316,39.61315789,1218.710526,1141.184211,5.458684211,3.226842105,1209-A-2017,505,27.32946333,15.98559333
2017,A,2412,Rwaniro,264045.3556,146.6918642,3691.49994,5.63,56,0,2.3,0.22,10.1,113,559,94,7.6,61.1,2.89,0.17,1.12,41.3,144,873,4.05,4.44,1210-A-2017,470,27.18950667,15.87000333
2017,A,2413,Simbi,71209.18491,39.56065829,3366.211528,5.42,32.66666667,1.3,1.99,0.143333333,17.76666667,143.3333333,547,126.6666667,16.93333333,35.3,3.303333333,0.176666667,1.5,61.83333333,169.3333333,1072.333333,5.726666667,5.44,1211-A-2017,431,27.63169833,16.26180667
2017,A,2414,Tumba,227543.5478,126.4130821,3711.117909,6.005,60,0,3.07,0.25,12.4,175.5,1820,363.5,9.05,19.85,0.995,0.32,3.09,62.15,133,1305,12.85,2.11,1212-A-2017,484,26.19675,15.21182833
2017,A,2601,Bweramana,158060.4538,87.81136322,4327.458156,5.72,33.66666667,0,1.723333333,0.166666667,24.2,195.3333333,590,131.6666667,13.7,66.4,1.233333333,0.17,1.55,86.4,159,1090,4.926666667,7.62,1213-A-2017,505,27.32946333,15.98559333
2017,A,2605,Kinihira,99194.45801,55.10803223,3393.334736,5.165,52.5,1.725,2.555,0.195,6.75,175,480,117,21.7,12.55,1.085,0.081,1.03,58.5,220,1425,5.805,4.82,1214-A-2017,471,27.617975,16.71490833
2017,A,2609,Ruhango,155460.732,86.36707336,2824.585128,5.933333333,35,0,2.186666667,0.136666667,87.56666667,242.6666667,1028,211,10.56666667,25.63333333,1.16,0.313333333,2.806666667,107.7333333,238.3333333,1147.333333,7.99,5.49,1215-A-2017,376,26.15187167,15.20591333
2017,A,2708,Nyamabuye,109214.0236,60.67445755,3049.058986,5.472194487,67.61950456,0.776054209,2.405064217,0.16875431,16.75534218,175.9156958,908.3998772,190.6666419,18.60903103,48.47189845,1.50975222,0.222962053,2.597054281,63.49027626,261.5977935,1239.978097,7.633313046,4.406192956,1301-A-2017,479,27.67089,16.46416667
2017,A,2710,Rongi,77.32051201,0.04295584,3119.726437,4.476666667,98.66666667,3.04,2.28,0.183333333,4.366666667,98.33333333,319.6666667,81,20.73333333,56.6,1.446666667,0.113666667,2.676666667,46.26666667,271,1476.666667,5.77,3.243333333,1302-A-2017,483,27.11251667,16.01722
2017,A,2712,Shyogwe,140234.4772,77.90804291,4015.310722,4.9328,174,0.158,3.166,0.276,25.952,88.08,966.04,124,59.9,64.192,0.8036,0.0706,1.6472,44.8,452.28,1583.6,6.4416,3.0612,1303-A-2017,483,27.11251667,16.01722
2017,A,2801,Gacurabwenge,149046.1716,82.80342865,3019.19865,5.813636364,67.18181818,0.209090909,0.641818182,0.047272727,46.52727273,168.9090909,1217.363636,239.9090909,12.51818182,117.3181818,2.977272727,0.385454545,4.996363636,22.61818182,158.5454545,254.6363636,8.826363636,1.158181818,1304-A-2017,409,27.48587833,16.29844333
2017,A,2806,Musambira,196151.0559,108.9728088,3893.448325,5.503333333,53,0.393333333,0.356666667,0.024666667,83.26,151.9333333,903.4666667,127.3333333,11.62,75.20666667,2.187333333,0.265,3.246666667,17.66666667,190.6,247.5333333,6.436666667,1.396,1305-A-2017,391,27.71766667,16.43585333
2017,A,2808,Nyamiyaga,702876.4343,390.486908,2386.763758,5.12,47.5,0.6,2.12,0.205,7,52,416.5,94,9.1,200,1.69,0.105,1.535,44.75,194.5,961,3.795,4.94,1306-A-2017,409,27.48587833,16.29844333
2017,A,3107,Murundi,332272.348,184.5957489,4250.738802,5.59,137.2,0.4,2.204,0.15,13.96,252,1516.2,403.4,34.68,88.36,2.474,0.6056,1.758,113.72,235.4,967.8,12.482,4.596,1307-A-2017,483,27.11251667,16.01722
2017,A,3601,Bugarama,808698.3948,449.276886,3561.278245,6.546944444,196.3611111,0.012037037,2.54462963,0.142314815,11.8,168.4074074,3397.305556,938.6574074,30.5212963,180.7796296,3.483888889,0.369462963,3.941018519,101.7092593,549.7037037,868.6296296,25.69462963,1.859074074,1308-A-2017,479,28.157005,16.63776
2017,A,3607,Gikundamvura,481141.8933,267.3010519,4476.480328,6.699777778,164.7333333,0.027777778,3.762,0.192222222,8.493333333,185.5333333,4975.266667,1398.844444,32.38666667,235.0288889,1.497111111,0.508111111,3.140666667,135.7977778,473.6666667,1052.288889,37.62733333,1.707777778,1309-A-2017,409,27.48587833,16.29844333
2017,A,3610,Muganza,8435.482893,4.686379385,4626.765142,6.305769231,195.8653846,0,3.836794872,0.221025641,4.375,126.3717949,3982.903846,886.0769231,36.39166667,153.7211538,1.455705128,0.30025,3.031153846,91.04679487,684.9358974,923.8076923,28.01846154,1.544102564,1310-A-2017,391,27.71766667,16.43585333
2017,A,3612,Nkanka,95283.70972,52.93539429,4841.624405,5.543081886,97.40702954,1.070777128,2.130531809,0.157763828,19.26805263,171.0024147,1466.772907,381.5611581,26.94900455,84.96324716,2.066986775,0.393767921,3.740143655,59.39840166,258.318605,991.4097006,12.28048619,2.718236727,2101-A-2017,358,25.84502,14.849455
2017,A,3615,Nyakabuye,721244.2017,400.6912231,3664.529356,5.6625,86.25,0.9875,2.2125,0.1925,23.575,171.5,1055.5,212.25,11.9,124.15,3.6625,0.3555,11.115,58.125,181.75,1147.75,8.7275,3.48,2102-A-2017,401,27.95500167,16.60004333
2017,A,3702,Bushenge,71693.08739,39.82949299,4476.880019,5.58,47,0.675,1.395,0.11,19.7,151.5,1311.5,306.5,18.55,129.5,4.04,0.21,3.605,38.35,160,1310,10.345,1.85,2103-A-2017,580,25.29661833,14.84524333
2017,A,3709,Kirimbi,240803.2562,133.7795868,5262.387311,4.845,75,1.925,3.185,0.185,74.1,69.5,549,68.5,20.15,10.05,1.075,0.117,2.045,38.75,194.5,1560,5.595,3.065,2104-A-2017,336,28.54660333,15.95180667
2017,A,3711,Mahembe,75890.82184,42.16156769,2371.828314,5.19,88.5,0.825,2.79,0.18,7.9,253.5,597,165,11.85,30.95,2.11,0.285,3.57,107.5,215.5,1031,6.3,7.435,2105-A-2017,638,26.64294667,15.73949167
2017,A,4413,Rugarama,1788117.517,993.3986206,3235.106163,6.5,142,0,3.66,0.25,23.65,714,4365,491.5,10,16.15,1.89,0.955,14.03,81.45,143.5,1220,28.105,1.325,2106-A-2017,533,25.61404,15.048905
2017,A,4510,Mukarange,105798.1407,58.77674484,3821.511392,4.1,240.5,3.645,2.865,0.21,55.65,121.5,316.5,77,23.7,12.15,0.72,0.0955,1.36,23.65,502.5,1265,6.29,1.635,2107-A-2017,403,27.92805667,15.80123667
2017,A,4516,Rukomo,1409928.955,783.293864,1924.463263,4.555,88.75,2.975,2.635,0.2275,11.05,82.5,388.25,110.75,13.625,15.4,0.8275,0.107,4.025,44.75,362.75,1413.5,6.245,3.0575,2108-A-2017,264,28.69845667,15.27734667
2017,A,5105,Kigabiro,197332.8552,109.629364,3375.008177,6.423333333,63.66666667,0,2.513333333,0.196666667,15,258.3333333,2023.333333,379,10.26666667,95.23333333,3.75,0.533333333,12.59,47.36666667,150.6666667,1047.333333,14.14333333,1.456666667,2109-A-2017,420,25.05582667,14.812555
2017,A,5111,Mwulire,372.9918379,0.207217688,3082.00983,5.745,88.16666667,0.141666667,0.98,0.081666667,5.733333333,157.6666667,2068.333333,412.6666667,9.166666667,99.9,1.74,0.515,2.385,22.31666667,96.66666667,388.3333333,14.425,0.716666667,2110-A-2017,273,25.844825,15.11189667
2017,A,5114,Rubona,96698.26126,53.72125626,3797.379552,5.54,104.5,0.175,3.05,0.215,11.7,124.5,1665,426,16.3,51.15,2.01,0.355,4.59,72.15,321.5,976.5,12.685,3.07,2201-A-2017,242,28.563305,15.23118833
2017,A,5202,Karama,880.8822166,0.489379009,3079.823095,5.6125,93,0.3,2.4125,0.18,37.125,255.5,971.25,205,6.9,48.025,2.1575,0.25325,2.6,38.675,185.75,829.25,7.6875,3.2025,2202-A-2017,549,28.63344833,15.818855
2017,A,5210,Nyagatare,510544.601,283.6358895,2818.846716,5.419808692,93.82475541,0.767234705,1.673705923,0.135716427,35.54297852,247.4385793,1346.421737,233.8564619,13.21100445,58.71995331,1.793874995,0.358147434,4.186930936,38.74856128,211.195297,780.3350485,10.25079601,2.316130404,2203-A-2017,360,27.01089,15.60689
2017,A,5212,Rwempasha,3043970.238,1691.094576,3265.724503,5.974,56,0.37,2.106,0.13,52.96,369.4,972.6,209.8,5.34,82.16,4.51,0.386,1.624,62.8,192.8,833.2,8.202,3.544,2204-A-2017,277,27.003835,15.61690167
2017,A,5214,Tabagwe,35.0310009,0.019461667,1972.611003,5.923333333,64,0.066666667,1.45,0.123333333,8.5,244,893,225.3333333,8.033333333,130.9,3.406666667,0.38,5.17,25.56666667,115.3333333,497.3333333,7.143333333,1.996666667,2205-A-2017,406,27.13475333,15.83925667
2017,A,5307,Kiziguro,762166.3989,423.4257772,2911.170915,5.529411765,231.7058824,0.047058824,2.034705882,0.145294118,11.28235294,126.5294118,1666.705882,407.9411765,50.00588235,138.3411765,1.168235294,0.296058824,2.574117647,165.1764706,785.5294118,777.5882353,12.82176471,5.768235294,2206-A-2017,366,29.09322,15.39100167
2017,A,5310,Ngarama,217.6042646,0.120891258,7031.112201,6.95,47,0,2.17,0.16,66.5,190,1540,227,1.4,127,2.62,0.5,3.35,41.2,143,780,10.26,1.75,2207-A-2017,539,27.95059,15.63626167
2017,A,5311,Nyagihanga,531.9977582,0.29555431,2392.115344,7.45,127,0,2.39,0.16,276,840,2110,402,4.6,257,2.45,1.07,8.82,103,268,688,16.5,2.71,2208-A-2017,436,27.40379667,15.70794667
2017,A,5406,Murundi,11422.52204,6.34584558,4681.247989,5.95,521.5555556,0.125,3.286666667,0.21,31.67777778,242,3336,627.7777778,165.6388889,68.52222222,1.187777778,0.8385,2.545555556,257.3777778,472,848.3888889,23.77555556,4.212222222,2209-A-2017,459,27.03266167,15.726285
2017,A,5411,Ruramira,82041.43524,45.57857513,5019.902428,6.195,61.5,0,2.715,0.255,6.85,756.5,2005,465,6.15,106.6,2.08,0.82,2.79,37.9,91,1224.5,16.005,1.015,2210-A-2017,302,28.45491167,15.25138167
2017,A,5501,Gahara,19425.91381,10.79217434,5420.59442,5.583333333,93.66666667,1.133333333,1.963333333,0.158333333,18.2,214.6666667,1552,331.3333333,9.183333333,83.48333333,1.663333333,0.511666667,2.333333333,25.86666667,172.6666667,832.3333333,12.31666667,1.251666667,2211-A-2017,549,27.97498833,15.56024833
2017,A,5502,Gatore,869649.1393,483.1384107,3392.123408,5.370555556,437.3333333,0.019444444,3.526111111,0.456111111,5.344444444,98.16666667,2343.444444,438.3333333,116.55,128.7166667,0.611111111,0.349555556,3.471111111,89.59444444,783.1666667,766.8888889,16.03111111,2.49,2212-A-2017,443,26.83849667,15.56084667
2017,A,5508,Musaza,102874.5305,57.15251693,3186.446186,5.34,59,0.45,2.1,0.16,6.9,201,728,140,11.6,36.1,3.48,0.28,41.89,35.1,163,1250,5.92,2.58,2213-A-2017,376,26.67242333,15.30253333
2017,A,5509,Mushikiri,236945.1461,131.6361923,3452.759813,5.169,391.6,0.14,3.635,0.505,3.28,55.2,2176.9,490.7,133.32,98.61,0.908,0.2751,1.737,81,468.8,989.1,15.608,2.147,2301-A-2017,606,25.80032,14.739785
2017,A,5512,Nyarubuye,151392.0273,84.10668182,3824.250262,5.746923077,58.15384615,0.153846154,0.415384615,0.03,9.123076923,127.7692308,1256.846154,284.7692308,10.07692308,195.0461538,3.426923077,0.447692308,2.407692308,13.43846154,96.23076923,114.3846154,9.197692308,0.833076923,2302-A-2017,466,26.42017333,15.27123
2017,A,5601,Gashanda,497.1697669,0.276205426,2808.440479,6.653333333,69.33333333,0,2.61,0.193333333,13.3,528.3333333,1189.333333,301,8.433333333,41.73333333,1.44,0.413333333,1.873333333,26.03333333,167.6666667,1009,9.923333333,1.203333333,2303-A-2017,461,25.79192333,14.57940167
2017,A,5604,Kazo,309524.6613,171.9581451,2638.722528,5.71,79.5,0.425,1.6225,0.12,89.275,400.75,2347.5,430.25,13.675,70.4,2.365,0.535,4.5475,21.6,168.75,647.5,16.8675,0.6975,2304-A-2017,834,24.422445,13.28863
2017,A,5612,Rurenge,406103.6728,225.6131516,3419.29735,5.865,81.5,0,2.955,0.22,19.45,359.5,2203,401.5,7,55.55,1.685,0.385,2.935,32.95,183.5,1125,15.425,1.145,2305-A-2017,491,25.150215,13.95950833
2017,A,5613,Sake,378124.8871,210.0693817,2995.400828,5.41,61,1.275,2.985,0.25,8.3,118,1595.5,271,11.35,38.95,2.15,0.37,1.36,45.8,124,1285,12.015,2.425,2306-A-2017,864,24.83224333,13.77921
